Bell No,Actual Time
1,18340
2,18650
3,18950
4,19190
5,19400
6,19660
7,19890
8,20190
9,20350
10,20670
11,20810
12,21020
1,21360
2,21550
3,21820
4,22000
5,22230
6,22440
7,22650
8,22880
9,22930
10,23170
11,23420
12,23720
1,24180
2,24340
3,24550
4,24760
5,24930
6,25190
7,25380
8,25680
9,25770
10,26010
11,26180
12,26380
1,26650
2,26900
3,27000
4,27250
5,27460
6,27690
7,27890
8,28100
9,28270
10,28470
11,28680
12,28990
1,29300
2,29460
3,29670
4,29850
5,30050
6,30250
7,30460
8,30730
9,30880
10,31100
11,31250
12,31460
1,31810
2,31990
3,32150
4,32380
5,32580
6,32780
7,32950
8,33150
9,33310
10,33490
11,33740
12,33950
1,34410
2,34610
3,34810
4,34990
5,35170
6,35320
7,35520
8,35810
9,35990
10,36210
11,36310
12,36530
1,36750
2,36960
3,37230
4,37420
5,37610
6,37810
7,38070
8,38270
9,38400
10,38580
11,38780
12,38980
1,39330
2,39530
3,39750
4,39920
5,40120
6,40370
7,40520
8,40810
9,40940
10,41160
11,41310
12,41600
1,41740
2,41990
3,42170
4,42350
5,42540
6,42770
7,43000
8,43190
9,43340
10,43540
11,43790
12,43980
1,44440
2,44630
3,44790
4,44960
5,45180
6,45340
7,45500
8,45740
9,45900
10,46130
11,46300
12,46560
1,46750
2,47010
3,47200
4,47360
5,47590
6,47800
7,48020
8,48220
9,48400
10,48590
11,48690
12,48950
1,49390
2,49560
3,49740
4,49910
5,50130
6,50390
7,50530
8,50800
9,50940
10,51150
11,51270
12,51540
1,51670
2,51900
3,52110
4,52360
5,52530
6,52760
7,52970
8,53180
9,53370
10,53520
11,53780
12,54000
1,54340
2,54550
3,54720
4,54880
5,55050
6,55290
7,55490
8,55760
9,55920
10,56090
11,56280
12,56470
1,56650
2,56960
3,57130
4,57320
5,57520
6,57720
7,57920
8,58150
9,58320
10,58500
11,58690
12,58880
1,59260
2,59440
3,59690
4,59850
5,60050
6,60280
7,60470
8,60740
9,60830
10,61050
11,61190
12,61410
1,61620
2,61900
3,62080
4,62290
5,62440
6,62660
7,62880
8,63100
9,63320
10,63440
11,63630
12,63870
1,64250
2,64430
3,64640
4,64800
5,64990
6,65210
7,65370
8,65660
9,65790
10,66000
11,66170
12,66410
1,66570
2,66810
3,67020
4,67250
5,67440
6,67620
7,67840
8,68060
9,68240
10,68380
11,68580
12,68830
1,69200
2,69380
3,69560
4,69730
5,69920
6,70160
7,70330
8,70590
9,70740
10,70940
11,71110
12,71390
1,71510
2,71730
3,71910
4,72140
5,72310
6,72550
7,72770
8,72980
9,73190
10,73290
11,73490
12,73750
1,74100
2,74320
3,74510
4,74700
5,74880
6,75040
7,75240
8,75530
9,75640
10,75840
11,76030
12,76270
1,76430
2,76660
3,76870
4,77120
5,77310
6,77520
7,77700
8,77910
9,78110
10,78230
11,78450
12,78670
1,79040
2,79230
3,79440
4,79630
5,79810
6,80020
7,80210
8,80470
9,80610
10,80790
11,80940
12,81230
1,81370
2,81580
3,81790
4,82030
5,82170
6,82430
7,82630
8,82840
9,83030
10,83170
11,83370
12,83620
1,83970
2,84160
3,84330
4,84540
5,84730
6,84940
7,85120
8,85370
9,85500
10,85720
11,85890
12,86140
1,86280
2,86510
3,86660
4,86930
5,87110
6,87360
7,87530
8,87740
9,87950
10,88070
11,88300
12,88550
1,88940
2,89130
3,89330
4,89500
5,89670
6,89850
7,90050
8,90320
9,90420
10,90660
11,90790
12,91090
1,91210
2,91430
3,91620
4,91840
5,92020
6,92270
7,92470
8,92690
9,92880
10,93020
11,93250
12,93470
1,93850
2,94040
3,94220
4,94410
5,94590
6,94790
7,94980
8,95250
9,95340
10,95550
11,95810
12,96050
1,96130
2,96350
3,96520
4,96760
5,96950
6,97170
7,97390
8,97600
9,97770
10,97930
11,98120
12,98420
1,98740
2,98960
3,99130
4,99320
5,99490
6,99710
7,99900
8,100150
9,100260
10,100480
11,100640
12,100870
1,101010
2,101270
3,101480
4,101710
5,101890
6,102140
7,102290
8,102490
9,102690
10,102820
11,103020
12,103270
1,103630
2,103810
3,104030
4,104210
5,104410
6,104620
7,104790
8,105050
9,105150
10,105340
11,105540
12,105830
1,105910
2,106150
3,106320
4,106580
5,106730
6,106960
7,107180
8,107390
9,107600
10,107740
11,107920
12,108190
1,108510
2,108710
3,108900
4,109070
5,109310
6,109490
7,109660
8,109930
9,110040
10,110250
11,110420
12,110670
1,110840
2,111080
3,111240
4,111500
5,111670
6,111880
7,112080
8,112280
9,112460
10,112590
11,112810
12,113020
1,113430
2,113630
3,113800
4,114010
5,114170
6,114370
7,114520
8,114780
9,114940
10,115150
11,115290
12,115570
1,115730
2,116000
3,116120
4,116350
5,116460
6,116730
7,116950
8,117150
9,117350
10,117510
11,117690
12,117940
1,118360
2,118530
3,118690
4,118870
5,119040
6,119240
7,119420
8,119670
9,119830
10,120040
11,120200
12,120460
1,120570
2,120810
3,121010
4,121220
5,121420
6,121640
7,121820
8,122020
9,122230
10,122360
11,122570
12,122830
1,123190
2,123390
3,123540
4,123740
5,123930
6,124150
7,124320
8,124530
9,124690
10,124900
11,125040
12,125300
1,125420
2,125720
3,125870
4,126080
5,126280
6,126500
7,126690
8,126900
9,127090
10,127240
11,127410
12,127670
1,127990
2,128190
3,128400
4,128580
5,128770
6,128980
7,129150
8,129420
9,129530
10,129760
11,129900
12,130120
1,130270
2,130520
3,130710
4,130900
5,131110
6,131330
7,131520
8,131750
9,131960
10,132070
11,132250
12,132500
1,132910
2,133070
3,133250
4,133410
5,133600
6,133810
7,134000
8,134260
9,134380
10,134620
11,134750
12,134960
1,135140
2,135410
3,135590
4,135810
5,135940
6,136200
7,136400
8,136590
9,136830
10,136940
11,137100
12,137360
1,137780
2,137970
3,138130
4,138310
5,138500
6,138660
7,138860
8,139100
9,139240
10,139460
11,139620
12,139890
1,140030
2,140280
3,140460
4,140690
5,140850
6,141070
7,141250
8,141440
9,141650
10,141780
11,142010
12,142260
1,142670
2,142830
3,142960
4,143180
5,143370
6,143560
7,143720
8,143980
9,144090
10,144300
11,144420
12,144780
1,144870
2,145120
3,145320
4,145550
5,145730
6,145950
7,146130
8,146330
9,146540
10,146660
11,146860
12,147090
1,147480
2,147650
3,147850
4,148060
5,148230
6,148420
7,148620
8,148870
9,149020
10,149230
11,149320
12,149570
1,149730
2,149980
3,150150
4,150380
5,150570
6,150810
7,150980
8,151200
9,151410
10,151540
11,151760
12,151930
1,152350
2,152520
3,152700
4,152910
5,153110
6,153270
7,153470
8,153700
9,153850
10,154030
11,154210
12,154420
1,154580
2,154850
3,155040
4,155230
5,155420
6,155680
7,155860
8,156080
9,156230
10,156400
11,156610
12,156790
1,157210
2,157380
3,157570
4,157750
5,157940
6,158130
7,158280
8,158530
9,158700
10,158870
11,159040
12,159320
1,159460
2,159710
3,159870
4,160090
5,160230
6,160430
7,160680
8,160880
9,161080
10,161240
11,161450
12,161640
1,162090
2,162270
3,162440
4,162610
5,162770
6,162950
7,163140
8,163380
9,163530
10,163740
11,163880
12,164170
1,164310
2,164550
3,164730
4,164960
5,165120
6,165350
7,165550
8,165760
9,165950
10,166100
11,166280
12,166510
1,166900
2,167080
3,167260
4,167480
5,167650
6,167850
7,168020
8,168270
9,168440
10,168610
11,168770
12,169070
1,169180
2,169420
3,169550
4,169780
5,169950
6,170180
7,170360
8,170600
9,170830
10,170930
11,171210
12,171430
1,171740
2,171910
3,172110
4,172310
5,172480
6,172670
7,172870
8,173090
9,173250
10,173420
11,173640
12,173870
1,174010
2,174240
3,174430
4,174660
5,174840
6,175060
7,175230
8,175450
9,175660
10,175780
11,176020
12,176220
1,176610
2,176800
3,176940
4,177140
5,177350
6,177540
7,177760
8,177970
9,178150
10,178320
11,178460
12,178670
1,178830
2,179080
3,179250
4,179510
5,179650
6,179890
7,180110
8,180310
9,180530
10,180650
11,180840
12,181070
1,181450
2,181630
3,181830
4,182060
5,182250
6,182420
7,182580
8,182820
9,182970
10,183150
11,183300
12,183580
1,183710
2,183930
3,184120
4,184360
5,184560
6,184770
7,184950
8,185170
9,185360
10,185490
11,185710
12,185920
1,186320
2,186520
3,186700
4,186910
5,187080
6,187240
7,187440
8,187650
9,187800
10,188010
11,188190
12,188400
1,188620
2,188860
3,189010
4,189270
5,189430
6,189650
7,189840
8,190050
9,190210
10,190380
11,190580
12,190780
1,191180
2,191380
3,191580
4,191790
5,191990
6,192190
7,192320
8,192550
9,192720
10,192890
11,193040
12,193340
1,193460
2,193680
3,193880
4,194110
5,194290
6,194510
7,194730
8,194920
9,195130
10,195240
11,195460
12,195700
1,196070
2,196230
3,196430
4,196660
5,196820
6,197030
7,197230
8,197440
9,197560
10,197770
11,197930
12,198240
1,198370
2,198610
3,198750
4,199000
5,199180
6,199400
7,199600
8,199810
9,200020
10,200140
11,200330
12,200590
1,200950
2,201140
3,201310
4,201550
5,201710
6,201920
7,202090
8,202310
9,202470
10,202660
11,202810
12,203040
1,203240
2,203480
3,203630
4,203890
5,204030
6,204260
7,204460
8,204680
9,204870
10,204990
11,205210
12,205440
1,205800
2,206000
3,206200
4,206430
5,206610
6,206800
7,206960
8,207190
9,207350
10,207540
11,207670
12,207980
1,208100
2,208340
3,208500
4,208730
5,208910
6,209130
7,209350
8,209550
9,209790
10,209900
11,210090
12,210330
1,210640
2,210840
3,211030
4,211260
5,211450
6,211610
7,211820
