Bell No,Actual Time
1,10011.7
2,10196.7
3,10402.0
4,10600.7
5,10804.2
6,10993.0
7,11197.9
8,11396.2
1,11794.6
2,11995.8
3,12197.4
4,12398.6
5,12595.5
6,12802.1
7,12997.3
8,13184.0
1,13606.0
2,13798.0
3,13996.3
4,14201.3
5,14401.1
6,14600.3
7,14795.7
8,15001.0
1,15392.3
2,15607.2
3,15793.7
4,15999.0
5,16200.1
6,16401.1
7,16598.8
8,16802.4
2,17181.8
1,17398.8
4,17598.6
3,17797.2
6,18007.0
5,18194.5
8,18398.9
7,18589.2
1,19000.7
2,19191.2
3,19391.5
4,19611.2
5,19802.9
6,19999.3
7,20200.2
8,20392.1
2,20794.0
1,21001.5
4,21188.6
3,21400.7
6,21590.6
5,21800.0
8,21993.7
7,22208.2
1,22604.5
2,22796.7
3,22989.8
4,23195.4
5,23399.1
6,23594.3
7,23800.8
8,24004.4
2,24399.1
1,24597.1
4,24803.3
3,24997.8
6,25203.7
5,25397.7
8,25607.5
7,25797.9
1,26194.0
2,26399.8
3,26596.1
4,26794.6
5,26998.7
6,27203.2
7,27388.4
8,27599.1
2,27998.6
1,28198.6
4,28403.4
3,28592.7
6,28802.7
5,28998.2
8,29199.9
7,29398.3
1,29797.7
2,29996.7
3,30201.5
4,30410.1
5,30604.8
6,30803.8
7,31002.3
8,31197.0
2,31602.5
1,31810.0
4,31993.0
3,32203.7
6,32404.6
5,32600.9
8,32803.5
7,33006.6
1,33410.8
2,33606.2
3,33808.0
4,34001.3
5,34203.8
6,34400.5
7,34601.1
8,34797.3
2,35203.1
1,35407.0
4,35598.9
3,35801.0
6,36002.9
5,36199.8
8,36404.5
7,36601.0
1,36993.8
2,37194.5
3,37403.4
4,37603.0
5,37805.4
6,38001.0
7,38200.8
8,38391.8
2,38806.9
1,38995.2
4,39205.1
3,39394.1
6,39596.5
5,39800.6
8,39997.7
7,40196.3
1,40604.4
2,40803.3
3,41001.8
4,41198.2
5,41395.7
6,41597.5
7,41797.2
8,41999.7
2,42403.7
1,42599.0
4,42795.9
3,42996.8
6,43206.3
5,43400.7
8,43601.1
7,43801.3
1,44202.9
2,44400.6
3,44605.8
4,44804.0
5,44985.7
6,45199.3
7,45414.8
8,45593.5
